Note,Velocity,time,acc_time
45,0,0.5375,49.137499999999996
52,0,0,49.137499999999996
79,0,0.03,49.1675
77,96,0.0325,49.199999999999996
48,96,0,49.199999999999996
53,96,0,49.199999999999996
77,0,0.8525,50.052499999999995
76,96,0.0475,50.099999999999994
72,0,0.1775,50.277499999999996
48,0,0.06,50.3375
53,0,0,50.3375
76,0,0.045,50.3825
72,96,0.0175,50.4
76,96,0,50.4
45,96,0,50.4
52,96,0,50.4
45,0,1.1375,51.5375
52,0,0,51.5375
48,96,0.0625,51.6
53,96,0,51.6
72,0,1.0775000000000001,52.6775
76,0,0,52.6775
48,0,0.06,52.737500000000004
53,0,0,52.737500000000004
72,96,0.0625,52.800000000000004
81,96,0,52.800000000000004
45,96,0,52.800000000000004
52,96,0,52.800000000000004
81,0,0.5675,53.36750000000001
79,96,0.0325,53.400000000000006
45,0,0.5375,53.93750000000001
52,0,0,53.93750000000001
79,0,0.03,53.96750000000001
77,92,0.0325,54.00000000000001
48,92,0,54.00000000000001
53,92,0,54.00000000000001
77,0,0.8525,54.852500000000006
76,85,0.0475,54.900000000000006
72,0,0.1775,55.07750000000001
48,0,0.06,55.13750000000001
53,0,0,55.13750000000001
76,0,0.045,55.18250000000001
72,83,0.0175,55.20000000000001
76,83,0,55.20000000000001
45,83,0,55.20000000000001
52,83,0,55.20000000000001
45,0,1.1375,56.33750000000001
52,0,0,56.33750000000001
48,74,0.0625,56.40000000000001
53,74,0,56.40000000000001
72,0,1.0775000000000001,57.47750000000001
76,0,0,57.47750000000001
48,0,0.06,57.537500000000016
53,0,0,57.537500000000016
69,64,0.0625,57.600000000000016
45,64,0,57.600000000000016
52,64,0,57.600000000000016
69,0,1.1375,58.73750000000002
45,0,0,58.73750000000002
52,0,0,58.73750000000002
69,64,0.0625,58.80000000000002
48,64,0,58.80000000000002
53,64,0,58.80000000000002
69,0,0.8525,59.65250000000002
69,64,0.0475,59.70000000000002
48,0,0.23750000000000002,59.937500000000014
53,0,0,59.937500000000014
69,0,0.045,59.982500000000016
69,64,0.0175,60.000000000000014
45,64,0,60.000000000000014
52,64,0,60.000000000000014
69,0,1.1375,61.13750000000002
45,0,0,61.13750000000002
52,0,0,61.13750000000002
72,64,0.0625,61.20000000000002
48,64,0,61.20000000000002
53,64,0,61.20000000000002
72,0,0.8525,62.052500000000016
71,64,0.0475,62.100000000000016
48,0,0.23750000000000002,62.33750000000001
53,0,0,62.33750000000001
71,0,0.045,62.382500000000014
71,64,0.0175,62.40000000000001
45,64,0,62.40000000000001
52,64,0,62.40000000000001
71,0,0.8525,63.25250000000001
69,64,0.0475,63.30000000000001
45,0,0.23750000000000002,63.53750000000001
52,0,0,63.53750000000001
69,0,0.045,63.58250000000001
69,64,0.0175,63.60000000000001
48,64,0,63.60000000000001
53,64,0,63.60000000000001
69,0,0.8525,64.45250000000001
69,64,0.0475,64.50000000000001
48,0,0.23750000000000002,64.73750000000001
53,0,0,64.73750000000001
69,0,0.045,64.78250000000001
69,64,0.0175,64.80000000000001
45,64,0,64.80000000000001
52,64,0,64.80000000000001
69,0,1.1375,65.93750000000001
45,0,0,65.93750000000001
52,0,0,65.93750000000001
71,96,0.0625,66.00000000000001
52,96,0,66.00000000000001
59,96,0,66.00000000000001
71,0,1.1375,67.13750000000002
52,0,0,67.13750000000002
59,0,0,67.13750000000002
72,96,0.0625,67.20000000000002
55,96,0,67.20000000000002
60,96,0,67.20000000000002
72,0,1.1375,68.33750000000002
55,0,0,68.33750000000002
60,0,0,68.33750000000002
76,100,0.0625,68.40000000000002
76,0,0.8525,69.25250000000003
77,103,0.0475,69.30000000000003
77,0,0.28250000000000003,69.58250000000002
79,104,0.0175,69.60000000000002
79,0,0.8525,70.45250000000003
81,107,0.0475,70.50000000000003
81,0,0.28250000000000003,70.78250000000003
83,108,0.0175,70.80000000000003
83,0,0.8525,71.65250000000003
84,111,0.0475,71.70000000000003
84,0,0.28250000000000003,71.98250000000003
88,112,0.0175,72.00000000000003
83,112,0,72.00000000000003
83,0,1.1375,73.13750000000003
83,104,0.0625,73.20000000000003
83,0,0.8525,74.05250000000004
81,98,0.0475,74.10000000000004
81,0,0.28250000000000003,74.38250000000004
81,96,0.0175,74.40000000000003
81,0,0.8525,75.25250000000004
79,90,0.0475,75.30000000000004
79,0,0.28250000000000003,75.58250000000004
79,88,0.0175,75.60000000000004
79,0,0.8525,76.45250000000004
77,82,0.0475,76.50000000000004
88,0,0.0575,76.55750000000005
77,0,0.225,76.78250000000004
76,80,0.0175,76.80000000000004
76,0,1.1375,77.93750000000004
76,80,0.0625,78.00000000000004
76,0,0.8525,78.85250000000005
77,80,0.0475,78.90000000000005
77,0,0.28250000000000003,79.18250000000005
79,80,0.0175,79.20000000000005
79,0,0.8525,80.05250000000005
81,80,0.0475,80.10000000000005
81,0,0.28250000000000003,80.38250000000005
83,80,0.0175,80.40000000000005
83,0,0.8525,81.25250000000005
84,80,0.0475,81.30000000000005
84,0,0.28250000000000003,81.58250000000005
84,80,0.0175,81.60000000000005
84,0,2.2775,83.87750000000005
83,80,0.1225,84.00000000000006
83,0,2.2775,86.27750000000006
72,80,0.1225,86.40000000000006
48,80,0,86.40000000000006
48,0,1.1375,87.53750000000007
48,80,0.0625,87.60000000000007
48,0,1.1375,88.73750000000007
45,80,0.0625,88.80000000000007
72,0,1.0175,89.81750000000007
72,80,0.1825,90.00000000000007
45,0,1.0775000000000001,91.07750000000007
72,0,0.06,91.13750000000007
69,80,0.0625,91.20000000000007
48,80,0,91.20000000000007
48,0,1.1375,92.33750000000008
48,80,0.0625,92.40000000000008
48,0,1.1375,93.53750000000008
50,80,0.0625,93.60000000000008
69,0,1.0175,94.61750000000008
50,0,0.12,94.73750000000008
69,80,0.0625,94.80000000000008
50,80,0,94.80000000000008
50,0,0.5675,95.36750000000008
45,80,0.0325,95.40000000000008
69,0,0.5375,95.93750000000007
45,0,0.03,95.96750000000007
69,80,0.0325,96.00000000000007
45,80,0,96.00000000000007
52,80,0,96.00000000000007
69,0,1.1375,97.13750000000007
45,0,0,97.13750000000007
52,0,0,97.13750000000007
69,80,0.0625,97.20000000000007
48,80,0,97.20000000000007
53,80,0,97.20000000000007
69,0,0.8525,98.05250000000008
69,80,0.0475,98.10000000000008
48,0,0.23750000000000002,98.33750000000008
53,0,0,98.33750000000008
69,0,0.045,98.38250000000008
69,80,0.0175,98.40000000000008
45,80,0,98.40000000000008
52,80,0,98.40000000000008
69,0,1.1375,99.53750000000008
45,0,0,99.53750000000008
52,0,0,99.53750000000008
72,80,0.0625,99.60000000000008
48,80,0,99.60000000000008
53,80,0,99.60000000000008
72,0,0.8525,100.45250000000009
71,80,0.0475,100.50000000000009
48,0,0.23750000000000002,100.73750000000008
53,0,0,100.73750000000008
71,0,0.045,100.78250000000008
71,64,0.0175,100.80000000000008
45,64,0,100.80000000000008
52,64,0,100.80000000000008
71,0,0.8525,101.65250000000009
69,64,0.0475,101.70000000000009
45,0,0.23750000000000002,101.93750000000009
52,0,0,101.93750000000009
69,0,0.045,101.98250000000009
69,64,0.0175,102.00000000000009
48,64,0,102.00000000000009
53,64,0,102.00000000000009
69,0,0.8525,102.85250000000009
69,64,0.0475,102.90000000000009
48,0,0.23750000000000002,103.13750000000009
53,0,0,103.13750000000009
69,0,0.045,103.18250000000009
69,64,0.0175,103.20000000000009
45,64,0,103.20000000000009
52,64,0,103.20000000000009
69,0,1.1375,104.33750000000009
45,0,0,104.33750000000009
52,0,0,104.33750000000009
71,96,0.0625,104.40000000000009
52,96,0,104.40000000000009
59,96,0,104.40000000000009
71,0,1.1375,105.5375000000001
52,0,0,105.5375000000001
59,0,0,105.5375000000001
72,96,0.0625,105.6000000000001
55,96,0,105.6000000000001
60,96,0,105.6000000000001
72,0,1.1375,106.7375000000001
55,0,0,106.7375000000001
60,0,0,106.7375000000001
76,100,0.0625,106.8000000000001
76,0,0.8525,107.6525000000001
77,103,0.0475,107.7000000000001
77,0,0.28250000000000003,107.9825000000001
79,104,0.0175,108.0000000000001
79,0,0.8525,108.8525000000001
81,107,0.0475,108.9000000000001
81,0,0.28250000000000003,109.1825000000001
83,108,0.0175,109.2000000000001
83,0,0.8525,110.05250000000011
84,111,0.0475,110.10000000000011
84,0,0.28250000000000003,110.3825000000001
88,112,0.0175,110.4000000000001
83,112,0,110.4000000000001
83,0,1.1375,111.53750000000011
83,104,0.0625,111.60000000000011
83,0,0.8525,112.45250000000011
81,98,0.0475,112.50000000000011
81,0,0.28250000000000003,112.78250000000011
81,96,0.0175,112.80000000000011
81,0,0.8525,113.65250000000012
79,90,0.0475,113.70000000000012
79,0,0.28250000000000003,113.98250000000012
79,88,0.0175,114.00000000000011
79,0,0.8525,114.85250000000012
77,82,0.0475,114.90000000000012
88,0,0.0575,114.95750000000012
77,0,0.225,115.18250000000012
76,80,0.0175,115.20000000000012
76,0,1.1375,116.33750000000012
76,80,0.0625,116.40000000000012
76,0,0.8525,117.25250000000013
77,80,0.0475,117.30000000000013
77,0,0.28250000000000003,117.58250000000012
79,80,0.0175,117.60000000000012
79,0,0.8525,118.45250000000013
81,80,0.0475,118.50000000000013
81,0,0.28250000000000003,118.78250000000013
83,80,0.0175,118.80000000000013
83,0,0.8525,119.65250000000013
84,80,0.0475,119.70000000000013
84,0,0.28250000000000003,119.98250000000013
84,80,0.0175,120.00000000000013
84,0,2.2775,122.27750000000013
83,80,0.1225,122.40000000000013
83,0,2.2775,124.67750000000014
72,80,0.1225,124.80000000000014
48,80,0,124.80000000000014
48,0,1.1375,125.93750000000014
48,80,0.0625,126.00000000000014
48,0,1.1375,127.13750000000014
45,80,0.0625,127.20000000000014
72,0,1.0175,128.21750000000014
72,80,0.1825,128.40000000000015
45,0,1.0775000000000001,129.47750000000013
72,0,0.06,129.53750000000014
69,80,0.0625,129.60000000000014
48,80,0,129.60000000000014
48,0,1.1375,130.73750000000013
48,80,0.0625,130.80000000000013
48,0,1.1375,131.9375000000001
50,80,0.0625,132.0000000000001
69,0,1.0175,133.01750000000013
50,0,0.12,133.13750000000013
69,80,0.0625,133.20000000000013
50,80,0,133.20000000000013
50,0,0.5675,133.76750000000013
45,80,0.0325,133.80000000000013
69,0,0.5375,134.33750000000012
45,0,0.03,134.36750000000012
69,80,0.0325,134.40000000000012
45,80,0,134.40000000000012
52,80,0,134.40000000000012
69,0,1.1375,135.5375000000001
45,0,0,135.5375000000001
52,0,0,135.5375000000001
69,80,0.0625,135.6000000000001
48,80,0,135.6000000000001
53,80,0,135.6000000000001
69,0,0.8525,136.4525000000001
69,80,0.0475,136.5000000000001
48,0,0.23750000000000002,136.73750000000013
53,0,0,136.73750000000013
69,0,0.045,136.7825000000001
69,80,0.0175,136.80000000000013
45,80,0,136.80000000000013
52,80,0,136.80000000000013
69,0,1.1375,137.9375000000001
45,0,0,137.9375000000001
52,0,0,137.9375000000001
72,80,0.0625,138.0000000000001
48,80,0,138.0000000000001
53,80,0,138.0000000000001
72,0,0.8525,138.8525000000001
71,80,0.0475,138.90000000000012
48,0,0.23750000000000002,139.13750000000013
53,0,0,139.13750000000013
71,0,0.045,139.18250000000012
71,80,0.0175,139.20000000000013
45,80,0,139.20000000000013
52,80,0,139.20000000000013
71,0,0.8525,140.05250000000012
69,80,0.0475,140.10000000000014
45,0,0.23750000000000002,140.33750000000015
52,0,0,140.33750000000015
69,0,0.045,140.38250000000014
69,80,0.0175,140.40000000000015
48,80,0,140.40000000000015
53,80,0,140.40000000000015
69,0,0.8525,141.25250000000014
69,80,0.0475,141.30000000000015
48,0,0.23750000000000002,141.53750000000016
53,0,0,141.53750000000016
69,0,0.045,141.58250000000015
69,80,0.0175,141.60000000000016
45,80,0,141.60000000000016
52,80,0,141.60000000000016
69,0,1.1375,142.73750000000015
45,0,0,142.73750000000015
52,0,0,142.73750000000015
67,80,0.0625,142.80000000000015
48,80,0,142.80000000000015
53,80,0,142.80000000000015
67,0,1.1375,143.93750000000014
48,0,0,143.93750000000014
53,0,0,143.93750000000014
69,80,0,143.93750000000014
41,80,0,143.93750000000014
41,0,0.3783333333333333,144.31583333333347
48,80,0.021666666666666664,144.33750000000015
48,0,0.3783333333333333,144.71583333333348
57,80,0.021666666666666664,144.73750000000015
57,0,0.3783333333333333,145.11583333333348
48,80,0.021666666666666664,145.13750000000016
69,0,0.3183333333333333,145.4558333333335
48,0,0.06,145.5158333333335
70,80,0.021666666666666664,145.53750000000016
41,80,0,145.53750000000016
70,0,0.3783333333333333,145.9158333333335
41,0,0,145.9158333333335
69,80,0.021666666666666664,145.93750000000017
48,80,0,145.93750000000017
69,0,0.3783333333333333,146.3158333333335
48,0,0,146.3158333333335
67,80,0.021666666666666664,146.33750000000018
